query_1;2
query_2;1
query_3;1
query_4;1
query_5;2
query_6;2
query_7;1
query_8;2
query_9;2
query_10;2
query_11;3
query_12;1
query_13;1
query_14;1
query_15;1
query_16;1
query_17;1
query_18;1
query_19;3
query_20;3
query_21;1
query_22;1
query_23;1
query_24;1
query_25;1
query_26;1
query_27;1
query_28;1
query_29;1
query_30;1
query_31;2
query_32;1
query_33;1
query_34;1
query_35;1
query_36;1
query_37;1
query_38;1
query_39;2
query_40;3
query_41;3
query_42;1
query_43;3
query_44;2
query_45;1
query_46;1
query_47;1
query_48;1
query_49;1
query_50;1
query_51;1
query_52;1
query_53;1
query_54;1
query_55;1
query_56;1
query_57;1
query_58;1
query_59;2
query_60;1
query_61;1
query_62;1
query_63;2
