query_1;1
query_2;1
query_3;1
query_4;4
query_5;1
query_6;1
query_7;4
query_8;5
query_9;1
query_10;4
query_11;4
query_12;1
query_13;2
query_14;1
query_15;1
query_16;2
query_17;1
query_18;4
query_19;1
query_20;5
query_21;1
query_22;1
query_23;1
query_24;1
query_25;1
query_26;1
query_27;1
query_28;1
query_29;1
query_30;1
query_31;10
query_32;2
query_33;1
query_34;1
query_35;1
query_36;1
query_37;1
query_38;1
query_39;1
query_40;10
query_41;10
query_42;10
query_43;3
query_44;1
query_45;3
query_46;1
query_47;2
query_48;1
query_49;1
query_50;1
query_51;1
query_52;3
query_53;1
query_54;1
query_55;2
query_56;1
query_57;1
query_58;1
query_59;1
query_60;1
query_61;1
query_62;1
query_63;1
